nome_contratante,nr_documento_contratante,cidade_contratante,estado_contratante,numero_apolice,data_contratacao,valor_pagamento,valor_premio,nome_beneficiario,status_apolice,Cobertura1,Valor Cob 1,Cobertura2,Valor Cob 2,Cobertura3,Valor Cob 3,capital_segurado
Lunna Ramos,208.617.493-40,Oliveira,AP,3846787011,2023-06-03,591.69,410520.28,Henrique Sousa,Suspensa,Morte Acidental,190380.4722,Invalidez Permanente,70511.286,Auxílio Funeral,2820.45144,705112.86
Pedro Miguel Vieira,725.908.136-86,Fogaça,PR,975145610,2023-03-04,764.59,60395.18,Sophie Silva,Cancelada,Diária por Incapacidade,13.29341,Doenças Graves,3323.3525,Invalidez Permanente,6646.705,66467.05
Ryan Barros,258.679.340-47,da Luz,PB,4162328219,2025-09-11,988.52,23560.53,Dra. Maria Cassiano,Ativa,Morte Acidental,193315.0347,Morte Natural,157515.9542,Diária por Incapacidade,143.196322,715981.61
Emanuella Almeida,728.930.654-65,Costela,TO,9049060416,2025-06-09,837.52,85253.6,Srta. Mariah Costela,Cancelada,Auxílio Funeral,270.156,Morte Natural,14858.58,Morte Acidental,18235.53,67539.0
Ana Liz Vieira,378.145.962-46,Vieira dos Dourados,BA,7554888894,2024-02-25,358.97,307937.31,Maria Flor Teixeira,Ativa,Morte Natural,12589.39,Auxílio Funeral,228.898,Invalidez Permanente,5722.45,57224.5
Maria Flor Leão,461.507.932-06,Farias,AL,5478785399,2024-01-18,806.62,80336.61,Dr. Anthony Gabriel da Rocha,Ativa,Auxílio Funeral,301.30304,Morte Acidental,20337.9552,Morte Natural,16571.6672,75325.76
Kamilly Garcia,306.174.825-35,Pimenta,ES,2500313030,2023-08-02,936.92,151355.95,Catarina Sousa,Ativa,Morte Natural,38642.9296,Invalidez Permanente,17564.968,Doenças Graves,8782.484,175649.68
Sr. João Miguel Albuquerque,380.179.642-69,Marques,RR,6133347383,2023-05-22,133.42,156664.16,Dr. Pedro Lucas da Mata,Cancelada,Doenças Graves,47354.3025,Diária por Incapacidade,189.41721,Auxílio Funeral,3788.3442,947086.05
Ana Carolina Oliveira,893.260.517-30,Siqueira dos Dourados,CE,7139790426,2022-11-10,968.45,191598.86,Dra. Sofia Ribeiro,Cancelada,Doenças Graves,8990.4865,Invalidez Permanente,17980.973,Diária por Incapacidade,35.961946,179809.73
Srta. Maria Vitória Barbosa,205.178.649-67,Borges,MS,1996611612,2024-04-20,475.47,341551.33,Matheus Azevedo,Ativa,Auxílio Funeral,557.724,Invalidez Permanente,13943.1,Diária por Incapacidade,27.8862,139431.0
Eloá Lima,172.490.638-04,Lopes Verde,CE,5879094856,2023-07-15,603.42,157794.52,Sr. Bruno da Rocha,Ativa,Diária por Incapacidade,22.342482,Morte Acidental,30162.3507,Auxílio Funeral,446.84964,111712.41
Enrico Aparecida,715.923.604-16,Moreira,MS,9153891310,2024-11-08,708.82,129623.46,Arthur Rodrigues,Suspensa,Auxílio Funeral,692.92888,Invalidez Permanente,17323.222,Doenças Graves,8661.611,173232.22
Isabella da Mota,493.286.570-83,das Neves,PB,3334248131,2024-03-23,925.4,407728.15,Calebe Vasconcelos,Cancelada,Auxílio Funeral,482.28456,Morte Acidental,32554.2078,Doenças Graves,6028.557,120571.14
Igor da Paz,724.156.098-11,Azevedo de Minas,MG,7499861164,2023-09-14,312.66,252733.12,João Pedro Vargas,Ativa,Invalidez Permanente,14816.027,Auxílio Funeral,592.64108,Diária por Incapacidade,29.632054,148160.27
Fernanda da Conceição,084.592.176-20,Carvalho,RN,5648545479,2023-07-14,147.34,159228.62,Camila Teixeira,Cancelada,Auxílio Funeral,774.69456,Morte Natural,42608.2008,Doenças Graves,9683.682,193673.64
Vitória Campos,372.840.561-26,Guerra de Macedo,AL,4355582410,2025-09-04,433.16,432283.21,Jade Borges,Ativa,Morte Acidental,34281.2898,Invalidez Permanente,12696.774,Diária por Incapacidade,25.393548,126967.74
Luísa Andrade,469.280.357-65,Aparecida,PI,5544024276,2025-03-31,901.98,481309.46,Ísis Almeida,Ativa,Doenças Graves,9579.2185,Auxílio Funeral,766.33748,Invalidez Permanente,19158.437,191584.37
Maria Helena Andrade,458.072.913-79,Rodrigues,PR,7869874585,2025-06-19,999.57,199181.61,Laís Lopes,Cancelada,Morte Natural,17413.9174,Invalidez Permanente,7915.417,Doenças Graves,3957.7085,79154.17
Luiza Martins,027.154.683-26,da Luz,MG,5452697122,2024-03-09,727.56,411024.84,André Sousa,Ativa,Morte Acidental,206747.3943,Auxílio Funeral,3062.92436,Morte Natural,168460.8398,765731.09
Amanda Guerra,605.179.482-49,Montenegro da Mata,SC,4532179496,2024-01-12,920.56,382686.01,Fernanda da Mata,Cancelada,Diária por Incapacidade,26.253716,Invalidez Permanente,13126.858,Auxílio Funeral,525.07432,131268.58
André Nascimento,905.281.734-05,Cirino da Prata,AP,7493483677,2024-08-10,276.11,497199.88,Rael Cunha,Ativa,Diária por Incapacidade,36.649342,Morte Acidental,49476.6117,Doenças Graves,9162.3355,183246.71
Srta. Lívia Teixeira,639.704.582-00,Pires,AL,9129781600,2025-03-01,523.12,173606.07,Anna Liz Porto,Ativa,Doenças Graves,3556.899,Morte Natural,15650.3556,Morte Acidental,19207.2546,71137.98
Laís Martins,436.251.098-24,Pacheco de Sampaio,MA,8645970732,2025-03-12,275.22,128978.91,Maria Sophia Abreu,Ativa,Morte Natural,26879.7452,Auxílio Funeral,488.72264,Morte Acidental,32988.7782,122180.66
Alana Fernandes,634.827.501-90,Sampaio,CE,5407205105,2023-04-01,872.68,472418.23,José Miguel Lopes,Suspensa,Invalidez Permanente,77588.142,Doenças Graves,38794.071,Diária por Incapacidade,155.176284,775881.42
Ana Lívia Siqueira,049.163.528-15,Brito,AC,736087846,2022-11-25,434.9,268782.27,Kevin Vasconcelos,Ativa,Diária por Incapacidade,28.802578,Morte Acidental,38883.4803,Doenças Graves,7200.6445,144012.89
Melissa Caldeira,081.623.794-87,Freitas das Flores,CE,7508582918,2024-08-05,283.87,345178.15,Luiz Henrique Vargas,Ativa,Invalidez Permanente,13203.02,Doenças Graves,6601.51,Diária por Incapacidade,26.40604,132030.2
Sr. João Felipe Câmara,460.718.259-11,das Neves dos Dourados,RS,6984706718,2025-10-29,895.12,478015.88,Evelyn Sá,Ativa,Doenças Graves,36211.2265,Auxílio Funeral,2896.89812,Diária por Incapacidade,144.844906,724224.53
Ravi da Rocha,984.506.213-05,Nunes de Goiás,PB,9977726706,2024-04-30,202.18,132548.34,Cauê Ferreira,Ativa,Diária por Incapacidade,18.882566,Doenças Graves,4720.6415,Morte Acidental,25491.4641,94412.83
Sara Leão,859.706.431-57,da Paz Verde,ES,876519238,2023-11-01,866.18,462318.78,Pedro Lucas Pereira,Ativa,Morte Natural,42394.8492,Morte Acidental,52030.0422,Auxílio Funeral,770.81544,192703.86
Srta. Sofia Cassiano,095.268.741-02,Martins Alegre,RJ,5583659316,2022-12-27,758.11,101019.74,Léo Almeida,Suspensa,Doenças Graves,4709.739,Diária por Incapacidade,18.838956,Invalidez Permanente,9419.478,94194.78
Letícia Machado,031.548.267-26,Almeida de Goiás,SP,8552718108,2024-01-14,650.62,416805.42,Sr. Kaique Peixoto,Ativa,Doenças Graves,3829.1515,Diária por Incapacidade,15.316606,Invalidez Permanente,7658.303,76583.03
Alice Fogaça,925.638.471-09,Carvalho do Amparo,SE,1557414291,2023-07-22,952.39,332865.55,Pedro Gomes,Ativa,Auxílio Funeral,663.08768,Diária por Incapacidade,33.154384,Doenças Graves,8288.596,165771.92
Brayan Marques,275.340.619-70,Machado,PA,6203442404,2023-03-26,187.19,466277.37,Lavínia Lopes,Suspensa,Morte Natural,19614.7666,Auxílio Funeral,356.63212,Doenças Graves,4457.9015,89158.03
Yago da Rocha,147.608.532-35,Oliveira do Galho,BA,1785579163,2023-03-13,809.44,444577.95,Nathan Andrade,Cancelada,Doenças Graves,3308.755,Auxílio Funeral,264.7004,Morte Natural,14558.522,66175.1
Maria Sophia Rezende,426.379.018-96,Viana,ES,1862327027,2023-10-09,839.25,317120.58,Mariane Santos,Cancelada,Doenças Graves,9846.088,Invalidez Permanente,19692.176,Morte Natural,43322.7872,196921.76
Gael Henrique da Mata,324.685.709-10,Pires da Serra,PB,560918539,2024-08-09,622.96,317630.09,Ágatha Silva,Ativa,Morte Acidental,25998.6429,Diária por Incapacidade,19.258254,Doenças Graves,4814.5635,96291.27
João Miguel Rezende,897.345.106-57,Novaes do Campo,MA,547831414,2024-01-16,402.91,72111.51,Ryan Ramos,Ativa,Invalidez Permanente,13000.592,Diária por Incapacidade,26.001184,Morte Acidental,35101.5984,130005.92
Maya Farias,486.031.279-13,Gonçalves,RS,160075498,2023-11-02,281.25,80054.22,Sr. Luiz Fernando Santos,Ativa,Morte Natural,11228.3908,Morte Acidental,13780.2978,Diária por Incapacidade,10.207628,51038.14
Maria Moraes,703.248.695-92,Macedo,RN,6269492880,2025-01-25,284.2,380398.8,Letícia Machado,Ativa,Doenças Graves,5190.866,Diária por Incapacidade,20.763464,Morte Acidental,28030.6764,103817.32
Ágatha Peixoto,682.045.913-06,Vargas da Mata,RR,95730717,2024-10-23,126.31,499371.47,Théo Melo,Ativa,Invalidez Permanente,11581.351,Doenças Graves,5790.6755,Morte Natural,25478.9722,115813.51
Raul Fonseca,983.174.265-64,Duarte Grande,CE,9426059617,2023-05-02,448.21,266036.71,Lorenzo Oliveira,Ativa,Morte Acidental,214749.711,Doenças Graves,39768.465,Auxílio Funeral,3181.4772,795369.3
Enzo Gabriel Campos,635.049.871-20,Vasconcelos da Serra,MS,7950206881,2024-11-26,841.57,452259.16,José Pedro Pires,Ativa,Doenças Graves,48593.2665,Invalidez Permanente,97186.533,Diária por Incapacidade,194.373066,971865.33
João Gabriel Guerra,871.094.652-76,Santos,MT,3732224758,2025-06-25,827.5,403783.66,Dra. Maria Liz Câmara,Ativa,Diária por Incapacidade,12.354884,Invalidez Permanente,6177.442,Morte Acidental,16679.0934,61774.42
Helena Ferreira,781.025.463-44,Aparecida de Cirino,CE,6149601314,2023-02-08,572.83,221215.69,Dom Carvalho,Cancelada,Invalidez Permanente,6759.686,Morte Natural,14871.3092,Doenças Graves,3379.843,67596.86
Isaac Costela,123.905.478-50,Siqueira,RR,4801520569,2025-05-03,568.61,423934.32,Dra. Alice Novais,Ativa,Morte Natural,12229.6856,Morte Acidental,15009.1596,Auxílio Funeral,222.35792,55589.48
Sara da Mota,582.013.469-98,Albuquerque da Prata,AM,428370355,2023-12-05,904.65,101486.52,Maria Sophia Carvalho,Ativa,Doenças Graves,38282.805,Invalidez Permanente,76565.61,Diária por Incapacidade,153.13122,765656.1
Heloísa Moura,780.246.315-71,Aparecida,AL,5085906603,2022-12-01,190.62,52982.37,Pietra Novais,Cancelada,Invalidez Permanente,8954.75,Morte Acidental,24177.825,Morte Natural,19700.45,89547.5
Maria Clara Farias,967.502.381-30,Cardoso das Flores,RJ,6550897289,2025-05-24,242.73,218681.44,Júlia Ferreira,Cancelada,Doenças Graves,30653.8715,Invalidez Permanente,61307.743,Auxílio Funeral,2452.30972,613077.43
Emilly Farias,726.491.830-04,Barbosa das Flores,MS,969281207,2025-05-14,623.45,332371.64,Vitor Hugo Leão,Ativa,Morte Acidental,29359.611,Invalidez Permanente,10873.93,Diária por Incapacidade,21.74786,108739.3
Zoe Câmara,710.359.286-12,Albuquerque,MG,7158856066,2024-12-16,338.23,281826.32,Maria Cecília Caldeira,Cancelada,Morte Acidental,19832.6934,Diária por Incapacidade,14.690884,Auxílio Funeral,293.81768,73454.42
Marcela da Luz,821.467.039-03,Pacheco de Monteiro,DF,721208802,2023-10-31,327.96,396249.12,Emanuel Moura,Ativa,Doenças Graves,46762.4695,Invalidez Permanente,93524.939,Diária por Incapacidade,187.049878,935249.39
Emilly da Rosa,450.971.286-30,Machado do Campo,BA,8616229670,2024-09-28,740.4,368637.49,Sr. Arthur Gabriel Cavalcanti,Ativa,Morte Natural,39492.9986,Doenças Graves,8975.6815,Morte Acidental,48468.6801,179513.63
Sra. Sofia Porto,964.031.527-34,Aragão,PA,3850057932,2023-06-22,188.36,373430.06,Dra. Joana Rezende,Ativa,Auxílio Funeral,3790.21068,Diária por Incapacidade,189.510534,Doenças Graves,47377.6335,947552.67
Maria Helena Casa Grande,169.547.038-93,Cunha,PR,349344893,2023-11-20,871.5,369947.46,Ana Júlia Cavalcante,Ativa,Doenças Graves,5984.762,Morte Natural,26332.9528,Invalidez Permanente,11969.524,119695.24
Laura Pastor,148.259.367-09,Peixoto,MG,184959623,2023-11-12,789.61,232246.57,Miguel Dias,Ativa,Morte Acidental,37436.9121,Morte Natural,30504.1506,Auxílio Funeral,554.62092,138655.23
Alexandre Azevedo,342.680.957-56,Vieira,CE,1649324617,2024-10-03,879.94,298791.89,Zoe Rios,Suspensa,Auxílio Funeral,266.98528,Invalidez Permanente,6674.632,Morte Acidental,18021.5064,66746.32
Cecília Barros,018.463.259-51,Pacheco,TO,817066216,2023-08-27,567.22,213333.65,Aylla Freitas,Ativa,Doenças Graves,8653.2505,Invalidez Permanente,17306.501,Morte Natural,38074.3022,173065.01
Sofia Guerra,950.178.642-02,Carvalho das Pedras,AP,8619893151,2023-08-23,966.23,459547.3,Dante Caldeira,Ativa,Doenças Graves,9850.477,Auxílio Funeral,788.03816,Invalidez Permanente,19700.954,197009.54
Calebe Guerra,692.805.341-06,Jesus de Carvalho,ES,9005586056,2025-06-30,362.19,41974.59,Guilherme Novaes,Cancelada,Morte Natural,25967.8056,Auxílio Funeral,472.14192,Morte Acidental,31869.5796,118035.48
Sr. Davi Nogueira,589.204.736-92,Rocha,MS,6824864513,2022-12-20,593.97,16234.34,Brayan Moura,Ativa,Morte Natural,34435.1524,Morte Acidental,42261.3234,Auxílio Funeral,626.09368,156523.42
Sr. Fernando Marques,384.529.706-92,das Neves,RJ,7385278902,2023-07-01,357.46,161527.57,Ayla Rezende,Suspensa,Morte Natural,11092.653,Auxílio Funeral,201.6846,Doenças Graves,2521.0575,50421.15
Sra. Eduarda Rocha,354.712.860-90,Viana,RO,9543615856,2023-11-26,418.4,471373.89,Dra. Maria Cecília Rodrigues,Cancelada,Auxílio Funeral,627.63936,Diária por Incapacidade,31.381968,Morte Acidental,42365.6568,156909.84
Esther Leão,197.354.206-43,Aparecida,RN,6337648870,2025-04-29,154.68,185211.21,Cauã Barbosa,Ativa,Morte Natural,37743.2308,Invalidez Permanente,17156.014,Diária por Incapacidade,34.312028,171560.14
Sr. João Vitor Moreira,097.652.384-10,Pacheco do Amparo,RN,9769583105,2023-12-05,249.53,77262.4,Elisa Silveira,Ativa,Morte Natural,33406.0738,Doenças Graves,7592.2895,Morte Acidental,40998.3633,151845.79
João Vitor Martins,982.604.573-00,Costela,RS,2367027862,2024-12-20,972.17,90294.79,Sra. Caroline Santos,Ativa,Diária por Incapacidade,39.32889,Doenças Graves,9832.2225,Auxílio Funeral,786.5778,196644.45
Lunna Peixoto,290.375.684-83,Sales,RN,1662457080,2024-08-01,146.93,493838.01,Isadora Sales,Cancelada,Morte Natural,29555.4996,Auxílio Funeral,537.37272,Morte Acidental,36272.6586,134343.18
Natália Vargas,716.492.803-78,Moreira Grande,TO,2412431389,2025-08-07,175.8,280049.37,Cauã Siqueira,Cancelada,Doenças Graves,49577.2695,Auxílio Funeral,3966.18156,Diária por Incapacidade,198.309078,991545.39
Ana Nunes,491.256.870-85,Cavalcante das Flores,SE,4779774204,2025-04-04,884.15,193509.7,Sophia Porto,Ativa,Invalidez Permanente,7521.201,Auxílio Funeral,300.84804,Doenças Graves,3760.6005,75212.01
Mariane Viana,102.635.974-07,Cunha de Leão,PB,6550809905,2024-04-16,892.7,361145.5,Lívia Mendes,Ativa,Morte Acidental,20313.8658,Morte Natural,16552.0388,Diária por Incapacidade,15.047308,75236.54
Lorena Novais,249.650.713-52,Duarte da Prata,SP,4442721249,2024-01-10,428.19,285022.86,Isabela Rios,Ativa,Doenças Graves,5724.463,Morte Acidental,30912.1002,Diária por Incapacidade,22.897852,114489.26
Joana Pires,382.914.065-70,Siqueira do Galho,AM,8712476937,2025-05-01,733.49,274475.79,Manuela Costa,Ativa,Diária por Incapacidade,35.315136,Morte Natural,38846.6496,Auxílio Funeral,706.30272,176575.68
Ísis Viana,048.971.653-93,Cirino,GO,1246754722,2023-06-22,462.26,124877.19,Camila Alves,Cancelada,Morte Acidental,139643.6193,Morte Natural,113783.6898,Doenças Graves,25859.9295,517198.59
Aylla da Mata,952.413.780-14,Montenegro,AC,4622206604,2025-06-29,876.39,453158.2,Ana Luiza Freitas,Ativa,Doenças Graves,3780.4065,Morte Natural,16633.7886,Invalidez Permanente,7560.813,75608.13
Srta. Bella Rezende,591.623.708-12,Cavalcante,SE,1171789215,2023-10-12,465.37,332591.3,Enzo Gabriel da Luz,Cancelada,Morte Acidental,37998.6687,Doenças Graves,7036.7905,Morte Natural,30961.8782,140735.81
Maria Julia Martins,598.243.716-64,das Neves da Serra,GO,889732340,2025-02-26,739.98,310686.22,Léo Viana,Ativa,Invalidez Permanente,7299.802,Auxílio Funeral,291.99208,Morte Acidental,19709.4654,72998.02
Julia Fernandes,487.295.061-58,da Mota,SC,6878127795,2024-01-16,209.92,24415.89,Ian Abreu,Ativa,Doenças Graves,45203.332,Invalidez Permanente,90406.664,Morte Natural,198894.6608,904066.64
Sr. Isaac Azevedo,612.943.587-82,Mendonça de Guerra,TO,7092700368,2023-11-27,219.72,484918.78,Valentina Pastor,Ativa,Morte Acidental,45541.2402,Auxílio Funeral,674.68504,Invalidez Permanente,16867.126,168671.26
Sra. Maria Liz Cavalcante,719.428.360-31,Peixoto,RO,1838621776,2024-11-28,249.04,153313.22,José Sousa,Ativa,Auxílio Funeral,637.77096,Diária por Incapacidade,31.888548,Doenças Graves,7972.137,159442.74
Laís Carvalho,483.012.967-04,Macedo,MG,618724139,2024-08-13,636.02,346022.6,Dra. Sophie Nunes,Ativa,Auxílio Funeral,295.70208,Doenças Graves,3696.276,Invalidez Permanente,7392.552,73925.52
Miguel Martins,658.029.743-38,Cavalcanti da Prata,RN,5891759139,2022-11-16,656.63,230329.48,Caroline Lopes,Ativa,Morte Natural,22040.9266,Invalidez Permanente,10018.603,Morte Acidental,27050.2281,100186.03
Yan Vieira,745.689.013-75,Rocha de Gonçalves,MT,1065949154,2024-11-01,817.62,232307.21,Benjamin Rios,Suspensa,Invalidez Permanente,12212.468,Morte Acidental,32973.6636,Diária por Incapacidade,24.424936,122124.68
Vitória Monteiro,569.437.218-28,Araújo da Praia,PA,3928663239,2024-02-22,549.9,130359.52,Renan da Paz,Ativa,Morte Natural,22582.0386,Auxílio Funeral,410.58252,Invalidez Permanente,10264.563,102645.63
Luiz Miguel Leão,321.589.760-12,Brito,RN,8698091568,2024-07-26,683.93,116395.41,Sarah Porto,Suspensa,Diária por Incapacidade,16.109722,Morte Acidental,21748.1247,Doenças Graves,4027.4305,80548.61
Bryan da Cruz,503.267.941-07,Silva da Praia,RN,1730501734,2023-12-09,412.23,311540.19,Benjamin da Costa,Cancelada,Doenças Graves,2719.5745,Auxílio Funeral,217.56596,Morte Natural,11966.1278,54391.49
Luigi Machado,681.905.472-67,Barbosa,RN,8454479755,2025-03-30,978.5,310056.45,Melissa Rodrigues,Cancelada,Invalidez Permanente,14783.728,Morte Acidental,39916.0656,Doenças Graves,7391.864,147837.28
Yan Campos,283.945.071-23,Duarte do Oeste,CE,4070513875,2023-11-21,178.69,367639.62,Vicente Pimenta,Suspensa,Diária por Incapacidade,22.44678,Doenças Graves,5611.695,Morte Natural,24691.458,112233.9
Aurora Cavalcanti,387.960.542-47,Vasconcelos Alegre,MA,582070004,2023-01-25,378.44,11788.72,Zoe Santos,Suspensa,Morte Natural,135464.3092,Doenças Graves,30787.343,Invalidez Permanente,61574.686,615746.86
Emanuel Cavalcante,154.697.382-64,Campos de Pereira,SP,5672419283,2025-03-12,953.86,254958.03,Marcos Vinicius Nunes,Ativa,Auxílio Funeral,2878.2164,Morte Acidental,194279.607,Invalidez Permanente,71955.41,719554.1
Vinicius Gomes,314.075.869-39,Albuquerque,AP,936369063,2023-01-23,717.81,323597.33,Isadora Alves,Ativa,Doenças Graves,7385.8865,Diária por Incapacidade,29.543546,Morte Natural,32497.9006,147717.73
Dra. Jade Costa,896.432.071-96,Barbosa,AC,9415354459,2025-06-20,109.49,314432.57,Francisco Silveira,Suspensa,Diária por Incapacidade,26.318684,Doenças Graves,6579.671,Morte Natural,28950.5524,131593.42
Maria Sophia Mendonça,857.096.341-66,Melo,RR,7762207624,2023-04-17,638.66,483513.88,Melissa Moreira,Cancelada,Invalidez Permanente,7842.296,Morte Acidental,21174.1992,Morte Natural,17253.0512,78422.96
Dr. Vitor Rodrigues,785.149.260-20,Camargo de Marques,PB,2678363294,2024-04-22,475.21,430887.38,Enzo Gabriel Alves,Suspensa,Invalidez Permanente,9722.267,Diária por Incapacidade,19.444534,Auxílio Funeral,388.89068,97222.67
