nome_segurado,tipo_sinistro,nome_beneficiario,valor_sinistro,quem_forma_beneficiados,status_seguro,regiao_sinistro
Mateus Moreira,Morte Acidental,Stella da Cunha,18676.32,Brayan Souza,Pago,Moura do Amparo
Sr. Pedro Miguel da Mata,Morte Acidental,Clara Vieira,68258.24,Bruno Fonseca,Pago,Marques
Apollo Peixoto,Auxílio Funeral,Ana Pacheco,37118.34,Antonella Gomes,Pago,Aparecida do Galho
Liam Ribeiro,Auxílio Funeral,João Vitor Cassiano,68101.36,Caio Rezende,Em análise,Fonseca Verde
Dante Novaes,Auxílio Funeral,Bella Fonseca,64125.4,Isabel da Paz,Pago,Camargo de Pires
Sr. Caleb Garcia,Doença Grave,João Campos,85055.76,Sofia Rezende,Pago,Cunha
Levi Souza,Morte Acidental,Dra. Ana Laura Duarte,45886.64,Heloísa Costela,Negado,Pinto
Dra. Sara Cunha,Morte Acidental,Maria Eduarda Guerra,30619.62,Gustavo Henrique Rezende,Negado,Correia
Srta. Bianca Castro,Morte Acidental,Henry Gabriel Carvalho,53987.26,Sr. Marcos Vinicius da Luz,Em análise,Duarte
Renan Porto,Auxílio Funeral,Joaquim da Cruz,29687.93,Mariane Câmara,Negado,Campos da Praia
Liam Martins,Morte Acidental,Maitê Andrade,97898.95,André Vargas,Pago,Freitas das Pedras
Eduarda Fernandes,Invalidez Permanente,Vitor Gabriel Rezende,62567.6,Jade Rodrigues,Em análise,Novais das Flores
Isabella Guerra,Invalidez Permanente,Gabrielly Vargas,79438.93,Dr. João Melo,Negado,Campos das Flores
Vitor Hugo Peixoto,Doença Grave,Vinicius da Mata,376104.94,Arthur Miguel Mendes,Negado,Silva de Dias
Isis Pires,Morte Acidental,Bruno Fogaça,55290.12,Alana Azevedo,Em análise,Sampaio do Amparo
Brayan Duarte,Morte Acidental,Maria Julia Costela,447439.21,Luiz Henrique Gonçalves,Pago,Sousa Grande
Maria Júlia Melo,Morte Acidental,Dante Lopes,96445.01,Carolina Vieira,Em análise,Aragão
Ana Carolina Azevedo,Invalidez Permanente,Davi Rocha,84273.37,Olivia Fernandes,Pago,Casa Grande
Maria Julia Barbosa,Auxílio Funeral,Yasmin Almeida,61222.44,Enzo Macedo,Pago,Siqueira
Maria Eduarda Cassiano,Morte Acidental,Murilo Souza,78253.52,Kaique Teixeira,Pago,Fernandes de Cavalcante
Dra. Caroline Melo,Morte Acidental,Pietro da Costa,11854.13,Lorenzo Marques,Pago,Almeida do Galho
Murilo Peixoto,Invalidez Permanente,Augusto Nunes,67100.58,Benício Aragão,Negado,Santos das Flores
Rafaela da Cunha,Morte Acidental,Dr. Luan Nascimento,29699.06,Theo Dias,Pago,Casa Grande
Carlos Eduardo Azevedo,Morte Acidental,Francisco Pereira,55325.7,Pietra Sousa,Em análise,Novais Paulista
Ana Clara da Rosa,Auxílio Funeral,Pedro das Neves,41753.86,Asafe Marques,Pago,Vieira das Flores
Daniela da Conceição,Morte Acidental,Isaac Rodrigues,390115.76,Sara Pereira,Em análise,Campos da Prata
Sr. Davi Correia,Invalidez Permanente,Sra. Zoe Aparecida,12619.45,Isabelly Fernandes,Negado,Correia
Gabriela Freitas,Morte Acidental,Ester Melo,24832.27,Pietra Novais,Negado,Cavalcanti do Galho
Luiz Miguel Alves,Morte Acidental,Davi Lucca Casa Grande,28568.67,Murilo Vargas,Em análise,Cirino da Praia
Dra. Sophie Moura,Auxílio Funeral,Stephany Cassiano,81191.87,Maria Flor Abreu,Pago,Cassiano da Serra
Pedro Lucas Cardoso,Morte Acidental,Pietro Vieira,88410.49,Rodrigo Pacheco,Negado,Siqueira da Serra
Maitê Montenegro,Morte Acidental,Anthony Siqueira,475473.14,Davi Luiz Pastor,Em análise,Borges
Sr. Vitor Barros,Morte Acidental,Theo Jesus,53570.94,Anthony Gabriel Pinto,Em análise,Peixoto
Sra. Milena Azevedo,Auxílio Funeral,Sr. Francisco Oliveira,88265.96,Liz Pimenta,Em análise,Siqueira do Amparo
Kamilly Gonçalves,Invalidez Permanente,Aurora Souza,364432.22,Mariana da Mata,Pago,Sampaio de Gonçalves
Dr. Caleb Viana,Morte Acidental,Liz Pacheco,52096.86,Maria Julia Novaes,Pago,Vieira
Cecília da Mota,Morte Acidental,Srta. Melissa Sales,96987.4,Nathan da Cunha,Negado,Lopes de Sá
Maria Eduarda da Mota,Morte Acidental,Hellena Abreu,98861.53,Sra. Maria Luísa Rocha,Negado,Cavalcante de Guerra
Dra. Maria Julia Rios,Doença Grave,Isabella Rios,27714.83,Maya Barbosa,Negado,Pacheco
Emanuella Castro,Doença Grave,Allana Araújo,83962.73,Amanda Cassiano,Pago,Cavalcanti
Isabela Moreira,Auxílio Funeral,Luiz Gustavo Caldeira,16465.99,Jade Dias,Em análise,Andrade
Kamilly Camargo,Morte Acidental,Maria Laura Cavalcanti,48051.28,Anthony Gabriel Peixoto,Negado,da Conceição da Prata
Marina Sales,Invalidez Permanente,Eloá Nascimento,29925.89,Henry Gabriel Melo,Negado,Cunha do Galho
Olivia Aragão,Invalidez Permanente,Bella Cunha,55190.89,Emanuel Caldeira,Negado,Pinto do Amparo
Eloah Montenegro,Invalidez Permanente,Paulo Albuquerque,471682.41,Oliver Campos,Negado,Abreu do Campo
Theo Novais,Auxílio Funeral,Ravi Macedo,353522.52,Kevin da Mata,Em análise,Pacheco
Nicole Câmara,Morte Acidental,Lívia da Luz,68747.2,Brenda Azevedo,Negado,Carvalho
Ester da Mata,Morte Acidental,Sofia Caldeira,36383.35,Sra. Vitória Leão,Em análise,da Mota das Pedras
Helena Porto,Morte Acidental,Vitor Oliveira,48275.91,Lucas Aparecida,Negado,Teixeira do Oeste
Jade Rezende,Morte Acidental,Olívia Ramos,81629.41,Maria Laura Araújo,Em análise,Andrade da Serra
Marcelo Caldeira,Morte Acidental,Srta. Julia Cassiano,20650.33,Ayla Campos,Pago,Fernandes
Ana Rezende,Morte Acidental,Enzo Gabriel Pires,93014.47,Francisco Andrade,Negado,Viana de Minas
João Lucas Novais,Auxílio Funeral,Luísa Castro,450976.13,Henry Costa,Pago,Pacheco das Pedras
Yuri Andrade,Morte Acidental,Otto Siqueira,47664.43,Elisa Nascimento,Em análise,Albuquerque dos Dourados
Maria Liz Duarte,Doença Grave,Liam Silveira,97931.09,Isabella da Conceição,Negado,Jesus dos Dourados
Srta. Elisa Ramos,Invalidez Permanente,Matteo Brito,269880.88,João Felipe Dias,Pago,Abreu
Maria Luiza Viana,Morte Acidental,Matheus Oliveira,75088.34,Antonella Rodrigues,Em análise,Moreira do Sul
Isaque Araújo,Morte Acidental,Theodoro Monteiro,92556.6,Eduardo Mendes,Em análise,Correia de Aparecida
Stephany Sales,Morte Acidental,Pedro Miguel Gomes,78499.7,Juliana Barbosa,Pago,da Mata de Almeida
Esther Duarte,Auxílio Funeral,Dr. Francisco Souza,69694.15,João Lucas Sales,Negado,Gonçalves das Pedras
Alexia Costela,Auxílio Funeral,Laís Câmara,389323.92,Dra. Yasmin Ferreira,Em análise,Camargo
Dr. Matteo Cirino,Auxílio Funeral,Hellena Gonçalves,17774.96,Maria Liz Teixeira,Em análise,Mendes de Pires
Maria Vitória Costa,Morte Acidental,Maitê Gomes,83890.24,Ana Luiza Castro,Em análise,Casa Grande Paulista
Sr. Bruno Rocha,Doença Grave,Caio Rios,42115.91,Vitor Hugo Moura,Em análise,Câmara do Oeste
Gustavo Henrique Porto,Morte Acidental,Isabel Cassiano,304729.22,Dra. Manuela Albuquerque,Em análise,Barros
Bruno Casa Grande,Auxílio Funeral,Carlos Eduardo Caldeira,434612.03,Heloísa Ferreira,Pago,Sales de Aragão
Antony Freitas,Invalidez Permanente,Maria Cecília Viana,21382.21,Dr. Caio Novaes,Em análise,Rocha
Renan Barros,Morte Acidental,Cecilia Viana,88762.31,Liam Oliveira,Pago,Mendonça
Benicio Silva,Doença Grave,Dr. Guilherme Caldeira,17552.83,Evelyn Nunes,Negado,Lopes do Campo
Isaque Nunes,Doença Grave,Carolina Martins,26879.28,Cauê Cirino,Em análise,Souza
Gabriela Cassiano,Morte Acidental,Igor Almeida,49863.16,Hadassa Alves,Pago,Carvalho
Isabella Viana,Morte Acidental,José da Cunha,23727.66,Luna Melo,Em análise,Melo de Minas
Isabela Sousa,Doença Grave,Alexandre Costa,53701.72,Sr. Pedro Henrique Nascimento,Em análise,Nunes
Dom Leão,Invalidez Permanente,Vinicius Costela,455343.61,Maria Clara Santos,Em análise,Barros de Câmara
Erick Pimenta,Morte Acidental,Pietro Azevedo,26717.03,Bella Nascimento,Em análise,Correia Grande
Manuella da Conceição,Doença Grave,Maria Vitória Vasconcelos,53951.76,Yago Guerra,Em análise,Araújo
Maria Clara Sousa,Morte Acidental,Anthony Barbosa,51306.93,Dra. Hellena Teixeira,Pago,Cirino Verde
Luiz Otávio Leão,Morte Acidental,Théo Silveira,34770.07,João Gabriel Abreu,Pago,Pastor
Sr. Luan Barbosa,Auxílio Funeral,Heitor Alves,33413.56,Maria Flor Sá,Negado,Castro do Oeste
Sr. Liam das Neves,Morte Acidental,Gustavo Henrique Machado,20927.54,Alícia Gomes,Negado,Fernandes
Sr. Luiz Felipe Ferreira,Morte Acidental,Isis da Rosa,71744.89,Luísa Rocha,Negado,Sousa da Mata
Matheus Pacheco,Morte Acidental,Sara Rodrigues,47631.27,Dra. Emanuella da Cunha,Pago,Ferreira
Guilherme Costela,Morte Acidental,Erick Gonçalves,83836.18,Isabella Sousa,Negado,Barros de Aragão
Maria Fernanda Sá,Morte Acidental,Raquel Moraes,69117.95,Maria Alice Brito,Pago,Nogueira de Goiás
Ana Liz Rocha,Morte Acidental,Maria Clara Pereira,94193.4,Thomas Carvalho,Pago,Lima de da Luz
Mirella Barros,Invalidez Permanente,Juliana Viana,60035.86,Vicente Souza,Em análise,Pinto da Mata
Henry Gabriel Moraes,Morte Acidental,Mariah Castro,29571.53,Mateus Oliveira,Negado,Oliveira
Théo Aparecida,Morte Acidental,Maria Clara Rios,40053.83,Dr. Noah Barros,Em análise,Sá Grande
Antonella da Luz,Invalidez Permanente,Maria Flor Dias,61702.34,Alexia das Neves,Em análise,Dias
Ana Cecília Vasconcelos,Morte Acidental,Fernando Rocha,83038.53,Julia Campos,Em análise,Andrade de Goiás
Maysa Santos,Auxílio Funeral,Benício Machado,332670.92,Stella Ribeiro,Pago,Abreu de Martins
Sr. Felipe Barbosa,Auxílio Funeral,Srta. Eduarda Rezende,32649.36,Sr. Rafael Machado,Em análise,Montenegro do Oeste
Luan Barros,Auxílio Funeral,Srta. Ana Liz da Rocha,35751.95,Caleb Gonçalves,Pago,Teixeira
Gabriel Novaes,Invalidez Permanente,Mariah da Luz,66853.51,Maria Laura Freitas,Negado,Farias
Cecília da Cunha,Invalidez Permanente,Ísis Macedo,44771.46,Evelyn Lopes,Em análise,Peixoto
Luiz Gustavo Guerra,Morte Acidental,Nicolas Casa Grande,48482.87,Maitê Melo,Negado,da Rosa das Pedras
Diego Santos,Morte Acidental,Ana Sophia Campos,71589.66,Sr. João Guilherme Martins,Negado,da Paz
Pedro Lucas Costa,Morte Acidental,Bento Leão,90009.27,Felipe Lima,Negado,Rocha da Praia
Maitê da Cruz,Doença Grave,Dr. Danilo da Costa,74711.04,Rafaela Castro,Pago,Sales
Mariane Albuquerque,Morte Acidental,Pedro Miguel Alves,70296.55,Melissa Lima,Pago,das Neves
Srta. Mariah Moreira,Auxílio Funeral,Cecília da Conceição,30556.4,Maria Júlia da Costa,Em análise,Vieira de Ferreira
Maria Flor Caldeira,Morte Acidental,Maria Cecília Camargo,51915.74,Ana da Conceição,Pago,Azevedo
Paulo Mendonça,Morte Acidental,Ana Liz Melo,53631.92,Sr. João Gabriel Lima,Pago,Caldeira
Yasmin Guerra,Invalidez Permanente,Rebeca Freitas,36397.24,Dra. Olivia Marques,Pago,das Neves do Galho
Sr. Arthur Miguel Ramos,Morte Acidental,Luiz Otávio Cassiano,62451.62,Luiz Otávio Pereira,Pago,Monteiro do Norte
Ravi Lucca da Paz,Auxílio Funeral,Levi Correia,66584.39,Cauã da Cruz,Em análise,Moreira dos Dourados
Marina Andrade,Invalidez Permanente,Pedro Lucas Garcia,466422.5,Ana Lívia Mendes,Pago,Rodrigues
Mateus Andrade,Morte Acidental,Maria Luiza Mendes,19181.95,Luigi das Neves,Pago,Nogueira do Norte
Henry Martins,Doença Grave,Manuela Sampaio,63493.75,Juliana Mendonça,Em análise,Cirino
Mirella Campos,Morte Acidental,Milena Lima,16262.8,Daniela Carvalho,Pago,Porto
Caleb Barros,Doença Grave,Arthur Marques,55674.28,Mariah Azevedo,Pago,da Conceição
Yago Gomes,Morte Acidental,Thales da Mata,50161.05,Melissa Castro,Pago,Ribeiro da Prata
André Sá,Morte Acidental,Dra. Ana Cecília Abreu,329572.81,Maria Julia Cunha,Pago,Nascimento de Aragão
Dom Sousa,Invalidez Permanente,Sophia Fonseca,72843.31,Nathan Azevedo,Em análise,Leão do Amparo
José Miguel Viana,Auxílio Funeral,Dr. Enrico Farias,59099.47,Matheus Fogaça,Negado,da Cunha
Mariane Jesus,Morte Acidental,Luara Mendes,49172.9,Dr. Lucca Cirino,Em análise,Novaes das Pedras
Agatha Barros,Morte Acidental,Ana Laura Farias,66746.14,Heitor Martins,Em análise,Montenegro
Olívia Almeida,Morte Acidental,Kevin Costela,80009.02,Ravy Duarte,Negado,Pimenta
Melissa Barros,Morte Acidental,Esther Novaes,94444.02,Arthur Gabriel Abreu,Em análise,da Conceição do Campo
Ana Vitória Cavalcante,Invalidez Permanente,Thales da Cruz,30125.0,Ayla Castro,Pago,da Mota
Sr. Dante Cassiano,Morte Acidental,Otto Ferreira,243319.55,Gustavo Cardoso,Negado,Lopes
Marcelo Monteiro,Morte Acidental,Gustavo Moreira,444999.21,Otávio Porto,Em análise,da Costa
Thiago Melo,Doença Grave,Kevin Fogaça,24052.2,Nina Moreira,Negado,Abreu
Bernardo Gonçalves,Auxílio Funeral,Benjamin Novais,17031.75,Dra. Liz Sampaio,Pago,Gomes
Ester da Cunha,Invalidez Permanente,Manuela Correia,23477.39,Carlos Eduardo Costela,Em análise,Novais Paulista
Ana Carolina Alves,Morte Acidental,Dr. Dante Martins,29612.85,Luan Pinto,Pago,Ribeiro
Heitor Martins,Morte Acidental,Natália Nunes,17861.01,João Miguel Jesus,Pago,Peixoto de Ribeiro
Isadora Araújo,Morte Acidental,Ester Carvalho,38908.33,Manuella Farias,Em análise,Araújo
Carolina Freitas,Morte Acidental,Theo Vieira,21443.45,Léo Araújo,Em análise,Nogueira de Rios
Isabela da Conceição,Morte Acidental,Vitor Moreira,93656.06,Rodrigo da Luz,Negado,Macedo
Agatha Ramos,Morte Acidental,Maria Isis da Conceição,45358.22,Antony Pimenta,Negado,Guerra
Alexia da Paz,Invalidez Permanente,Lunna Rios,429172.87,Valentina da Paz,Negado,Gonçalves
Emilly da Mata,Invalidez Permanente,Gael Cavalcante,347452.27,Aurora Câmara,Negado,Montenegro
Anthony Porto,Morte Acidental,Marcela Sales,84201.47,Alexia Borges,Negado,Costa
Dra. Ana Lívia Viana,Invalidez Permanente,Eduarda Mendes,88224.94,Luiz Felipe Rios,Em análise,Martins
José Pedro Vieira,Morte Acidental,Ágatha Fogaça,30390.58,Asafe Almeida,Negado,Nogueira do Sul
Sr. Guilherme Moreira,Morte Acidental,Liam Pinto,80400.4,Yasmin Carvalho,Em análise,Cardoso
Caroline Ferreira,Morte Acidental,Marcela Vasconcelos,231375.64,Olivia Nascimento,Negado,Pacheco do Campo
Cauê Ferreira,Morte Acidental,Henrique Guerra,468771.2,Carlos Eduardo da Rosa,Pago,Cassiano de Gonçalves
Arthur Miguel Carvalho,Auxílio Funeral,Marina Câmara,86929.27,Ana Lívia Guerra,Negado,Duarte
Giovanna Oliveira,Morte Acidental,Olívia Rios,67022.73,Jade Novaes,Em análise,Leão
Isabelly da Cruz,Doença Grave,Lavínia Costa,264911.19,Danilo Marques,Negado,Cassiano da Prata
Theodoro Macedo,Doença Grave,Maria Luiza da Mota,60471.6,Ana Beatriz Nascimento,Em análise,Rios
Joana Costa,Invalidez Permanente,Sr. Breno Moura,80850.56,Catarina Farias,Negado,Sales
Mathias Santos,Morte Acidental,Kamilly Jesus,95587.35,Rodrigo Carvalho,Negado,Borges
Otto Fernandes,Invalidez Permanente,Ravy Pinto,83745.25,Guilherme Fernandes,Em análise,Novaes do Galho
Bárbara da Costa,Morte Acidental,Sr. Bento Pacheco,382993.42,Alexandre Albuquerque,Em análise,Ferreira do Oeste
Isabelly Abreu,Morte Acidental,Manuela Nogueira,44986.52,Vinícius Siqueira,Negado,Pastor do Amparo
Isabelly Fogaça,Invalidez Permanente,Heitor Ferreira,25566.87,Apollo Azevedo,Pago,Jesus
Bruna Rocha,Doença Grave,Maria Júlia Novais,49693.28,Luiza Peixoto,Pago,Carvalho de Minas
Vitória da Mata,Morte Acidental,Yuri Abreu,77374.15,Maria Júlia Silveira,Negado,Azevedo do Galho
Brenda Aragão,Invalidez Permanente,Dr. Breno da Cruz,220282.1,Lívia Gomes,Pago,Aparecida do Sul
Luna Câmara,Morte Acidental,Sophia Monteiro,10710.99,Thiago da Rocha,Em análise,da Rocha do Norte
Arthur Gabriel Novais,Morte Acidental,Juliana Montenegro,62775.41,Luan Pastor,Negado,Alves
Emanuel Pacheco,Morte Acidental,Sr. Marcos Vinicius Garcia,31786.38,Fernanda Pires,Pago,Aragão
João Moreira,Morte Acidental,Luigi Sampaio,18384.91,Maria Cecília Costela,Pago,Moreira
Aylla Duarte,Morte Acidental,Augusto Sá,87089.44,Benjamim Rodrigues,Negado,Cunha
Dr. Yago Cardoso,Invalidez Permanente,Ian Azevedo,32468.78,Zoe Câmara,Em análise,da Cunha do Norte
Ísis Martins,Morte Acidental,Caio Casa Grande,57963.36,Bernardo Ferreira,Em análise,Casa Grande de Araújo
Alice Fogaça,Auxílio Funeral,Sophie Moraes,24018.58,Isaque Marques,Pago,Andrade
Bruna Cardoso,Morte Acidental,Noah da Cruz,42953.35,Olivia Ribeiro,Em análise,Silveira
Eduardo Mendonça,Auxílio Funeral,Liz da Cunha,17502.06,Ana Luiza Albuquerque,Negado,Vieira do Amparo
Lara Gomes,Invalidez Permanente,Alexia Brito,38754.5,Sofia Moreira,Negado,Rezende
Benicio Pacheco,Invalidez Permanente,Theodoro Mendonça,308864.43,Ana Luiza Pacheco,Em análise,Cavalcanti
Eloá Siqueira,Doença Grave,Maria Julia Cassiano,32172.76,Yan da Costa,Pago,Sampaio Alegre
Isis da Mata,Invalidez Permanente,Maria Flor Santos,234209.92,Antony Martins,Negado,Aparecida
Thiago Mendes,Morte Acidental,Davi Lucca Pinto,214284.95,Melina Borges,Pago,Duarte
Beatriz Farias,Morte Acidental,Dra. Aurora Fogaça,203275.07,Sabrina da Costa,Pago,Moraes
Nathan Correia,Morte Acidental,Lara Pacheco,24985.39,Sra. Mirella Abreu,Pago,Barros Paulista
Léo Castro,Doença Grave,Letícia Pastor,34789.74,José Pedro Duarte,Em análise,Azevedo dos Dourados
Daniela Macedo,Invalidez Permanente,Alice Nogueira,63196.93,Cauê Araújo,Pago,Teixeira
Sr. Marcelo da Cruz,Morte Acidental,Anthony Gabriel Andrade,284778.18,Dra. Maitê Pacheco,Pago,Sousa do Sul
Emilly Costa,Morte Acidental,Leonardo Dias,82147.43,Antony Vieira,Em análise,da Mata do Norte
Enrico Moraes,Morte Acidental,Lucas Gabriel Sá,62872.59,Ravi Lucca Rios,Negado,Siqueira de Porto
Catarina Azevedo,Doença Grave,Hadassa Ramos,478548.98,Mirella Pimenta,Pago,Vasconcelos do Amparo
Raquel Campos,Morte Acidental,Alexia Campos,91641.16,Maria Clara Câmara,Em análise,Machado do Campo
Luana Moura,Doença Grave,Renan Vargas,250020.03,Sra. Sara Garcia,Em análise,Peixoto de Goiás
Gabriela Fernandes,Auxílio Funeral,Sarah Machado,55015.09,Maria Fernanda Cardoso,Pago,Câmara Verde
Gabrielly Câmara,Auxílio Funeral,Raul Marques,68675.02,Yuri Montenegro,Em análise,Ribeiro
Gael da Mota,Morte Acidental,Lorena Cunha,54760.69,Olívia Montenegro,Negado,Martins
Eduardo Fernandes,Auxílio Funeral,Gael Henrique Macedo,78547.35,Dra. Mariane Ramos,Em análise,Ribeiro
Rodrigo Brito,Auxílio Funeral,João Guilherme Campos,35996.64,Rael Jesus,Pago,Aparecida do Sul
Ana Liz Ramos,Doença Grave,João Gabriel Sales,272431.15,Dra. Ana Vitória Freitas,Em análise,da Cruz
Ana Vitória Mendonça,Morte Acidental,Ayla Gonçalves,42789.9,Vitória Castro,Negado,Macedo
Dr. Isaque Lima,Invalidez Permanente,Joaquim Leão,30978.24,Dr. Thales Jesus,Pago,Castro
Maria Flor Moura,Morte Acidental,Gustavo Cirino,99964.54,Guilherme Ramos,Pago,Rios
Ana Beatriz Sousa,Invalidez Permanente,Caio Rodrigues,46399.22,Levi Pinto,Em análise,da Luz do Campo
Isaque Sá,Morte Acidental,Sr. Cauê Moreira,96684.81,Levi Porto,Negado,da Conceição
