nome_contratante,nr_documento_contratante,cidade_contratante,estado_contratante,numero_apolice,data_contratacao,valor_pagamento,valor_premio,nome_beneficiario,status_apolice,Cobertura1,Valor Cob 1,Cobertura2,Valor Cob 2,Cobertura3,Valor Cob 3,capital_segurado
Sra. Maria Alice Vargas,834.259.706-74,Camargo do Sul,DF,6144110220,2025-03-12,375.91,384729.86,Apollo Cavalcanti,Ativa,Doenças Graves,9187.71,Auxílio Funeral,735.02,Diá­ria por Incapacidade,36.75,183754.19
Matteo Caldeira,635.849.120-24,Lima,MG,8973930087,2023-09-18,335.76,148357.79,Luiz Otá­vio Albuquerque,Ativa,Morte Acidental,49136.40,Doenças Graves,9099.33,Invalidez Permanente,18198.67,181986.67
Dr. Rael Sousa,216.594.307-80,da Conceição,RR,7728958789,2024-11-12,678.40,461199.80,Sr. João Mendonça,Ativa,Doenças Graves,6623.33,Morte Acidental,35765.98,Morte Natural,29142.65,132466.58
Mateus Castro,204.719.863-13,Rocha,CE,4805469705,2025-03-30,122.93,276411.46,Dr. Gabriel Farias,Ativa,Auxílio Funeral,224.94,Morte Acidental,15183.12,Morte Natural,12371.43,56233.78
Ana Luiza Camargo,965.047.123-52,Albuquerque Grande,PA,9922619013,2025-07-22,662.84,149502.45,Maria Fernanda Leão,Ativa,Invalidez Permanente,16108.63,Auxílio Funeral,644.35,Doenças Graves,8054.32,161086.30
Bruno Nunes,917.845.602-94,Farias Grande,DF,2999405210,2024-12-14,611.44,481370.14,Miguel Lima,Ativa,Doenças Graves,6143.72,Invalidez Permanente,12287.45,Morte Acidental,33176.11,122874.48
Bianca da Cunha,083.659.127-59,Pereira Alegre,TO,4450435318,2023-06-19,142.18,190480.54,Maria Vitáüria das Neves,Suspensa,Doenças Graves,42281.91,Morte Acidental,228322.31,Invalidez Permanente,84563.82,845638.20
Breno Vieira,637.894.520-92,Abreu do Norte,CE,4223311551,2025-09-15,898.21,406383.90,Ana Cecília Freitas,Suspensa,Morte Acidental,21438.77,Doenças Graves,3970.14,Morte Natural,17468.62,79402.84
Enzo Gabriel Costela,614.825.973-73,Rodrigues de Pimenta,RJ,8475774662,2024-12-22,11777.15,2192857.99,Noah Campos,Ativa,Morte Acidental,270042244.60,Diá­ria por Incapacidade,200031.29,Doenças Graves,50007823.07,1000156461.00
Anthony Gabriel Marques,954.208.761-67,Lopes da Mata,MT,3344229094,2023-08-03,142.18,151219.54,Ana Lívia Borges,Ativa,Auxílio Funeral,645.74,Diá­ria por Incapacidade,32.29,Invalidez Permanente,16143.43,161434.29
Léo Marques,571.038.629-40,Cavalcante de Peixoto,MT,4259721809,2023-09-09,685.00,237808.77,Srta. Ana Luiza Moraes,Ativa,Doenças Graves,3848.65,Morte Acidental,20782.70,Morte Natural,16934.06,76972.98
Fernanda Rezende,064.289.753-00,Costela,ES,5873028928,2023-11-09,175.54,499353.79,Mariana Teixeira,Ativa,Diá­ria por Incapacidade,28.22,Doenças Graves,7054.17,Morte Natural,31038.36,141083.44
Lara Carvalho,175.860.923-03,Nunes do Norte,MG,1748460473,2023-02-20,137.11,353773.55,Sr. Davi Miguel Ribeiro,Ativa,Morte Acidental,16862.47,Invalidez Permanente,6245.36,Diá­ria por Incapacidade,12.49,62453.61
Gabriela Ferreira,586.943.127-19,Porto de Minas,CE,1335692853,2025-01-10,869.69,29720.95,Lívia Azevedo,Ativa,Auxílio Funeral,727.63,Diá­ria por Incapacidade,36.38,Morte Natural,40019.83,181908.33
Dr. Ryan Viana,581.293.076-77,Moura da Mata,SP,8524581241,2023-11-19,16207.73,19995812.53,Ravi Novaes,Ativa,Morte Acidental,32976107.58,Diá­ria por Incapacidade,24426.75,Auxílio Funeral,488534.93,122133731.80
Noah Sousa,236.081.547-44,Sousa,BA,3694576823,2024-01-15,630.16,102400.33,Vitáüria Peixoto,Ativa,Morte Acidental,46363.36,Morte Natural,37777.56,Invalidez Permanente,17171.62,171716.16
Dr. Marcelo Pastor,786.214.503-80,Nascimento Alegre,PA,8175830848,2023-07-04,888.19,383615.98,Dr. Rodrigo da Cunha,Suspensa,Invalidez Permanente,9025.94,Doenças Graves,4512.97,Diá­ria por Incapacidade,18.05,90259.43
Sra. Jade Pacheco,359.604.128-70,Aragão de Ribeiro,SP,1402387416,2024-04-12,628.27,9787.14,Nina Machado,Cancelada,Auxílio Funeral,326.10,Invalidez Permanente,8152.50,Diá­ria por Incapacidade,16.31,81525.00
Isabelly Sousa,189.765.234-82,Lopes do Oeste,PI,7157109530,2024-03-16,939.34,365081.43,Dr. Benjamin Lopes,Ativa,Morte Acidental,53406.33,Invalidez Permanente,19780.12,Diá­ria por Incapacidade,39.56,197801.24
Lunna Ramos,208.617.493-40,Oliveira,AP,3846787011,2023-06-03,591.69,410520.28,Henrique Sousa,Suspensa,Morte Acidental,190380.47,Invalidez Permanente,70511.29,Auxílio Funeral,2820.45,705112.86
Pedro Miguel Vieira,725.908.136-86,Fogaça,PR,975145610,2023-03-04,764.59,60395.18,Sophie Silva,Cancelada,Diá­ria por Incapacidade,13.29,Doenças Graves,3323.35,Invalidez Permanente,6646.71,66467.05
Ryan Barros,258.679.340-47,da Luz,PB,4162328219,2025-09-11,988.52,23560.53,Dra. Maria Cassiano,Ativa,Morte Acidental,193315.03,Morte Natural,157515.95,Diá­ria por Incapacidade,143.20,715981.61
Emanuella Almeida,728.930.654-65,Costela,TO,9049060416,2025-06-09,837.52,85253.60,Srta. Mariah Costela,Cancelada,Auxílio Funeral,270.16,Morte Natural,14858.58,Morte Acidental,18235.53,67539.00
Ana Liz Vieira,378.145.962-46,Vieira dos Dourados,BA,7554888894,2024-02-25,358.97,307937.31,Maria Flor Teixeira,Ativa,Morte Natural,12589.39,Auxílio Funeral,228.90,Invalidez Permanente,5722.45,57224.50
Maria Flor Leão,461.507.932-06,Farias,AL,5478785399,2024-01-18,806.62,80336.61,Dr. Anthony Gabriel da Rocha,Ativa,Auxílio Funeral,301.30,Morte Acidental,20337.96,Morte Natural,16571.67,75325.76
Kamilly Garcia,306.174.825-35,Pimenta,ES,2500313030,2023-08-02,936.92,151355.95,Catarina Sousa,Ativa,Morte Natural,38642.93,Invalidez Permanente,17564.97,Doenças Graves,8782.48,175649.68
Sr. João Miguel Albuquerque,380.179.642-69,Marques,RR,6133347383,2023-05-22,133.42,156664.16,Dr. Pedro Lucas da Mata,Cancelada,Doenças Graves,47354.30,Diá­ria por Incapacidade,189.42,Auxílio Funeral,3788.34,947086.05
Henry Silveira,320.165.874-07,Cardoso de Goiá­s,MT,82231973,2024-12-16,174.55,219166.36,Bento Teixeira,Ativa,Doenças Graves,47520.86,Diá­ria por Incapacidade,190.08,Morte Acidental,256612.65,950417.22
Ana Carolina Oliveira,893.260.517-30,Siqueira dos Dourados,CE,7139790426,2022-11-10,968.45,191598.86,Dra. Sofia Ribeiro,Cancelada,Doenças Graves,8990.49,Invalidez Permanente,17980.97,Diá­ria por Incapacidade,35.96,179809.73
Srta. Maria Vitáüria Barbosa,205.178.649-67,Borges,MS,1996611612,2024-04-20,475.47,341551.33,Matheus Azevedo,Ativa,Auxílio Funeral,557.72,Invalidez Permanente,13943.10,Diá­ria por Incapacidade,27.89,139431.00
Eloá­ Lima,172.490.638-04,Lopes Verde,CE,5879094856,2023-07-15,603.42,157794.52,Sr. Bruno da Rocha,Ativa,Diá­ria por Incapacidade,22.34,Morte Acidental,30162.35,Auxílio Funeral,446.85,111712.41
Enrico Aparecida,715.923.604-16,Moreira,MS,9153891310,2024-11-08,708.82,129623.46,Arthur Rodrigues,Suspensa,Auxílio Funeral,692.93,Invalidez Permanente,17323.22,Doenças Graves,8661.61,173232.22
Isabella da Mota,493.286.570-83,das Neves,PB,3334248131,2024-03-23,925.40,407728.15,Calebe Vasconcelos,Cancelada,Auxílio Funeral,482.28,Morte Acidental,32554.21,Doenças Graves,6028.56,120571.14
Igor da Paz,724.156.098-11,Azevedo de Minas,MG,7499861164,2023-09-14,312.66,252733.12,João Pedro Vargas,Ativa,Invalidez Permanente,14816.03,Auxílio Funeral,592.64,Diá­ria por Incapacidade,29.63,148160.27
Fernanda da Conceição,084.592.176-20,Carvalho,RN,5648545479,2023-07-14,147.34,159228.62,Camila Teixeira,Cancelada,Auxílio Funeral,774.69,Morte Natural,42608.20,Doenças Graves,9683.68,193673.64
Vitáüria Campos,372.840.561-26,Guerra de Macedo,AL,4355582410,2025-09-04,433.16,432283.21,Jade Borges,Ativa,Morte Acidental,34281.29,Invalidez Permanente,12696.77,Diá­ria por Incapacidade,25.39,126967.74
Luísa Andrade,469.280.357-65,Aparecida,PI,5544024276,2025-03-31,901.98,481309.46,Ísis Almeida,Ativa,Doenças Graves,9579.22,Auxílio Funeral,766.34,Invalidez Permanente,19158.44,191584.37
Maria Helena Andrade,458.072.913-79,Rodrigues,PR,7869874585,2025-06-19,999.57,199181.61,Laís Lopes,Cancelada,Morte Natural,17413.92,Invalidez Permanente,7915.42,Doenças Graves,3957.71,79154.17
Luiza Martins,027.154.683-26,da Luz,MG,5452697122,2024-03-09,727.56,411024.84,André Sousa,Ativa,Morte Acidental,206747.39,Auxílio Funeral,3062.92,Morte Natural,168460.84,765731.09
Amanda Guerra,605.179.482-49,Montenegro da Mata,SC,4532179496,2024-01-12,920.56,382686.01,Fernanda da Mata,Cancelada,Diá­ria por Incapacidade,26.25,Invalidez Permanente,13126.86,Auxílio Funeral,525.07,131268.58
André Nascimento,905.281.734-05,Cirino da Prata,AP,7493483677,2024-08-10,276.11,497199.88,Rael Cunha,Ativa,Diá­ria por Incapacidade,36.65,Morte Acidental,49476.61,Doenças Graves,9162.34,183246.71
Srta. Lívia Teixeira,639.704.582-00,Pires,AL,9129781600,2025-03-01,523.12,173606.07,Anna Liz Porto,Ativa,Doenças Graves,3556.90,Morte Natural,15650.36,Morte Acidental,19207.25,71137.98
Laís Martins,436.251.098-24,Pacheco de Sampaio,MA,8645970732,2025-03-12,275.22,128978.91,Maria Sophia Abreu,Ativa,Morte Natural,26879.75,Auxílio Funeral,488.72,Morte Acidental,32988.78,122180.66
Alana Fernandes,634.827.501-90,Sampaio,CE,5407205105,2023-04-01,872.68,472418.23,José Miguel Lopes,Suspensa,Invalidez Permanente,77588.14,Doenças Graves,38794.07,Diá­ria por Incapacidade,155.18,775881.42
Ana Lívia Siqueira,049.163.528-15,Brito,AC,736087846,2022-11-25,434.90,268782.27,Kevin Vasconcelos,Ativa,Diá­ria por Incapacidade,28.80,Morte Acidental,38883.48,Doenças Graves,7200.64,144012.89
Melissa Caldeira,081.623.794-87,Freitas das Flores,CE,7508582918,2024-08-05,283.87,345178.15,Luiz Henrique Vargas,Ativa,Invalidez Permanente,13203.02,Doenças Graves,6601.51,Diá­ria por Incapacidade,26.41,132030.20
Sr. João Felipe Câmara,460.718.259-11,das Neves dos Dourados,RS,6984706718,2025-10-29,895.12,478015.88,Evelyn Sá­,Ativa,Doenças Graves,36211.23,Auxílio Funeral,2896.90,Diá­ria por Incapacidade,144.84,724224.53
Ravi da Rocha,984.506.213-05,Nunes de Goiá­s,PB,9977726706,2024-04-30,202.18,132548.34,Cauá¦ Ferreira,Ativa,Diá­ria por Incapacidade,18.88,Doenças Graves,4720.64,Morte Acidental,25491.46,94412.83
Sara Leão,859.706.431-57,da Paz Verde,ES,876519238,2023-11-01,866.18,462318.78,Pedro Lucas Pereira,Ativa,Morte Natural,42394.85,Morte Acidental,52030.04,Auxílio Funeral,770.82,192703.86
Davi Lucca Melo,183.970.642-22,Cassiano da Mata,ES,1476587013,2024-09-17,368.19,445212.30,Maria Luiza Costela,Ativa,Invalidez Permanente,97096.34,Morte Acidental,262160.12,Doenças Graves,48548.17,970963.42
Srta. Sofia Cassiano,095.268.741-02,Martins Alegre,RJ,5583659316,2022-12-27,758.11,101019.74,Léo Almeida,Suspensa,Doenças Graves,4709.74,Diá­ria por Incapacidade,18.84,Invalidez Permanente,9419.48,94194.78
Letícia Machado,031.548.267-26,Almeida de Goiá­s,SP,8552718108,2024-01-14,650.62,416805.42,Sr. Kaique Peixoto,Ativa,Doenças Graves,3829.15,Diá­ria por Incapacidade,15.32,Invalidez Permanente,7658.30,76583.03
Alice Fogaça,925.638.471-09,Carvalho do Amparo,SE,1557414291,2023-07-22,952.39,332865.55,Pedro Gomes,Ativa,Auxílio Funeral,663.09,Diá­ria por Incapacidade,33.15,Doenças Graves,8288.60,165771.92
Brayan Marques,275.340.619-70,Machado,PA,6203442404,2023-03-26,187.19,466277.37,Lavínia Lopes,Suspensa,Morte Natural,19614.77,Auxílio Funeral,356.63,Doenças Graves,4457.90,89158.03
Yago da Rocha,147.608.532-35,Oliveira do Galho,BA,1785579163,2023-03-13,809.44,444577.95,Nathan Andrade,Cancelada,Doenças Graves,3308.76,Auxílio Funeral,264.70,Morte Natural,14558.52,66175.10
Maria Sophia Rezende,426.379.018-96,Viana,ES,1862327027,2023-10-09,839.25,317120.58,Mariane Santos,Cancelada,Doenças Graves,9846.09,Invalidez Permanente,19692.18,Morte Natural,43322.79,196921.76
Gael Henrique da Mata,324.685.709-10,Pires da Serra,PB,560918539,2024-08-09,622.96,317630.09,ágatha Silva,Ativa,Morte Acidental,25998.64,Diá­ria por Incapacidade,19.26,Doenças Graves,4814.56,96291.27
João Miguel Rezende,897.345.106-57,Novaes do Campo,MA,547831414,2024-01-16,402.91,72111.51,Ryan Ramos,Ativa,Invalidez Permanente,13000.59,Diá­ria por Incapacidade,26.00,Morte Acidental,35101.60,130005.92
Maya Farias,486.031.279-13,Gonçalves,RS,160075498,2023-11-02,281.25,80054.22,Sr. Luiz Fernando Santos,Ativa,Morte Natural,11228.39,Morte Acidental,13780.30,Diá­ria por Incapacidade,10.21,51038.14
Maria Moraes,703.248.695-92,Macedo,RN,6269492880,2025-01-25,284.20,380398.80,Letícia Machado,Ativa,Doenças Graves,5190.87,Diá­ria por Incapacidade,20.76,Morte Acidental,28030.68,103817.32
ágatha Peixoto,682.045.913-06,Vargas da Mata,RR,95730717,2024-10-23,126.31,499371.47,Théo Melo,Ativa,Invalidez Permanente,11581.35,Doenças Graves,5790.68,Morte Natural,25478.97,115813.51
Raul Fonseca,983.174.265-64,Duarte Grande,CE,9426059617,2023-05-02,448.21,266036.71,Lorenzo Oliveira,Ativa,Morte Acidental,214749.71,Doenças Graves,39768.47,Auxílio Funeral,3181.48,795369.30
Enzo Gabriel Campos,635.049.871-20,Vasconcelos da Serra,MS,7950206881,2024-11-26,841.57,452259.16,José Pedro Pires,Ativa,Doenças Graves,48593.27,Invalidez Permanente,97186.53,Diá­ria por Incapacidade,194.37,971865.33
João Gabriel Guerra,871.094.652-76,Santos,MT,3732224758,2025-06-25,827.50,403783.66,Dra. Maria Liz Câmara,Ativa,Diá­ria por Incapacidade,12.35,Invalidez Permanente,6177.44,Morte Acidental,16679.09,61774.42
Helena Ferreira,781.025.463-44,Aparecida de Cirino,CE,6149601314,2023-02-08,572.83,221215.69,Dom Carvalho,Cancelada,Invalidez Permanente,6759.69,Morte Natural,14871.31,Doenças Graves,3379.84,67596.86
Isaac Costela,123.905.478-50,Siqueira,RR,4801520569,2025-05-03,568.61,423934.32,Dra. Alice Novais,Ativa,Morte Natural,12229.69,Morte Acidental,15009.16,Auxílio Funeral,222.36,55589.48
Sara da Mota,582.013.469-98,Albuquerque da Prata,AM,428370355,2023-12-05,904.65,101486.52,Maria Sophia Carvalho,Ativa,Doenças Graves,38282.81,Invalidez Permanente,76565.61,Diá­ria por Incapacidade,153.13,765656.10
Heloísa Moura,780.246.315-71,Aparecida,AL,5085906603,2022-12-01,190.62,52982.37,Pietra Novais,Cancelada,Invalidez Permanente,8954.75,Morte Acidental,24177.83,Morte Natural,19700.45,89547.50
Maria Clara Farias,967.502.381-30,Cardoso das Flores,RJ,6550897289,2025-05-24,242.73,218681.44,Júlia Ferreira,Cancelada,Doenças Graves,30653.87,Invalidez Permanente,61307.74,Auxílio Funeral,2452.31,613077.43
Emilly Farias,726.491.830-04,Barbosa das Flores,MS,969281207,2025-05-14,623.45,332371.64,Vitor Hugo Leão,Ativa,Morte Acidental,29359.61,Invalidez Permanente,10873.93,Diá­ria por Incapacidade,21.75,108739.30
Zoe Câmara,710.359.286-12,Albuquerque,MG,7158856066,2024-12-16,338.23,281826.32,Maria Cecília Caldeira,Cancelada,Morte Acidental,19832.69,Diá­ria por Incapacidade,14.69,Auxílio Funeral,293.82,73454.42
Marcela da Luz,821.467.039-03,Pacheco de Monteiro,DF,721208802,2023-10-31,327.96,396249.12,Emanuel Moura,Ativa,Doenças Graves,46762.47,Invalidez Permanente,93524.94,Diá­ria por Incapacidade,187.05,935249.39
Emilly da Rosa,450.971.286-30,Machado do Campo,BA,8616229670,2024-09-28,740.40,368637.49,Sr. Arthur Gabriel Cavalcanti,Ativa,Morte Natural,39493.00,Doenças Graves,8975.68,Morte Acidental,48468.68,179513.63
Sra. Sofia Porto,964.031.527-34,Aragão,PA,3850057932,2023-06-22,188.36,373430.06,Dra. Joana Rezende,Ativa,Auxílio Funeral,3790.21,Diá­ria por Incapacidade,189.51,Doenças Graves,47377.63,947552.67
Maria Helena Casa Grande,169.547.038-93,Cunha,PR,349344893,2023-11-20,871.50,369947.46,Ana Júlia Cavalcante,Ativa,Doenças Graves,5984.76,Morte Natural,26332.95,Invalidez Permanente,11969.52,119695.24
Laura Pastor,148.259.367-09,Peixoto,MG,184959623,2023-11-12,789.61,232246.57,Miguel Dias,Ativa,Morte Acidental,37436.91,Morte Natural,30504.15,Auxílio Funeral,554.62,138655.23
Alexandre Azevedo,342.680.957-56,Vieira,CE,1649324617,2024-10-03,879.94,298791.89,Zoe Rios,Suspensa,Auxílio Funeral,266.99,Invalidez Permanente,6674.63,Morte Acidental,18021.51,66746.32
Cecília Barros,018.463.259-51,Pacheco,TO,817066216,2023-08-27,567.22,213333.65,Aylla Freitas,Ativa,Doenças Graves,8653.25,Invalidez Permanente,17306.50,Morte Natural,38074.30,173065.01
Sofia Guerra,950.178.642-02,Carvalho das Pedras,AP,8619893151,2023-08-23,966.23,459547.30,Dante Caldeira,Ativa,Doenças Graves,9850.48,Auxílio Funeral,788.04,Invalidez Permanente,19700.95,197009.54
Calebe Guerra,692.805.341-06,Jesus de Carvalho,ES,9005586056,2025-06-30,362.19,41974.59,Guilherme Novaes,Cancelada,Morte Natural,25967.81,Auxílio Funeral,472.14,Morte Acidental,31869.58,118035.48
Sr. Davi Nogueira,589.204.736-92,Rocha,MS,6824864513,2022-12-20,593.97,16234.34,Brayan Moura,Ativa,Morte Natural,34435.15,Morte Acidental,42261.32,Auxílio Funeral,626.09,156523.42
Sr. Fernando Marques,384.529.706-92,das Neves,RJ,7385278902,2023-07-01,357.46,161527.57,Ayla Rezende,Suspensa,Morte Natural,11092.65,Auxílio Funeral,201.68,Doenças Graves,2521.06,50421.15
Sra. Eduarda Rocha,354.712.860-90,Viana,RO,9543615856,2023-11-26,418.40,471373.89,Dra. Maria Cecília Rodrigues,Cancelada,Auxílio Funeral,627.64,Diá­ria por Incapacidade,31.38,Morte Acidental,42365.66,156909.84
Esther Leão,197.354.206-43,Aparecida,RN,6337648870,2025-04-29,154.68,185211.21,Cauã Barbosa,Ativa,Morte Natural,37743.23,Invalidez Permanente,17156.01,Diá­ria por Incapacidade,34.31,171560.14
Sr. João Vitor Moreira,097.652.384-10,Pacheco do Amparo,RN,9769583105,2023-12-05,249.53,77262.40,Elisa Silveira,Ativa,Morte Natural,33406.07,Doenças Graves,7592.29,Morte Acidental,40998.36,151845.79
João Vitor Martins,982.604.573-00,Costela,RS,2367027862,2024-12-20,972.17,90294.79,Sra. Caroline Santos,Ativa,Diá­ria por Incapacidade,39.33,Doenças Graves,9832.22,Auxílio Funeral,786.58,196644.45
Lunna Peixoto,290.375.684-83,Sales,RN,1662457080,2024-08-01,146.93,493838.01,Isadora Sales,Cancelada,Morte Natural,29555.50,Auxílio Funeral,537.37,Morte Acidental,36272.66,134343.18
Sr. Francisco Vieira,708.431.926-31,Castro de Aparecida,MT,4743346872,2024-11-20,165.73,295860.70,Enzo Vieira,Ativa,Invalidez Permanente,83838.60,Morte Acidental,226364.22,Doenças Graves,41919.30,838386.00
Natá­lia Vargas,716.492.803-78,Moreira Grande,TO,2412431389,2025-08-07,175.80,280049.37,Cauã Siqueira,Cancelada,Doenças Graves,49577.27,Auxílio Funeral,3966.18,Diá­ria por Incapacidade,198.31,991545.39
Ana Nunes,491.256.870-85,Cavalcante das Flores,SE,4779774204,2025-04-04,884.15,193509.70,Sophia Porto,Ativa,Invalidez Permanente,7521.20,Auxílio Funeral,300.85,Doenças Graves,3760.60,75212.01
Mariane Viana,102.635.974-07,Cunha de Leão,PB,6550809905,2024-04-16,892.70,361145.50,Lívia Mendes,Ativa,Morte Acidental,20313.87,Morte Natural,16552.04,Diá­ria por Incapacidade,15.05,75236.54
Lorena Novais,249.650.713-52,Duarte da Prata,SP,4442721249,2024-01-10,428.19,285022.86,Isabela Rios,Ativa,Doenças Graves,5724.46,Morte Acidental,30912.10,Diá­ria por Incapacidade,22.90,114489.26
Joana Pires,382.914.065-70,Siqueira do Galho,AM,8712476937,2025-05-01,733.49,274475.79,Manuela Costa,Ativa,Diá­ria por Incapacidade,35.32,Morte Natural,38846.65,Auxílio Funeral,706.30,176575.68
Ísis Viana,048.971.653-93,Cirino,GO,1246754722,2023-06-22,462.26,124877.19,Camila Alves,Cancelada,Morte Acidental,139643.62,Morte Natural,113783.69,Doenças Graves,25859.93,517198.59
Aylla da Mata,952.413.780-14,Montenegro,AC,4622206604,2025-06-29,876.39,453158.20,Ana Luiza Freitas,Ativa,Doenças Graves,3780.41,Morte Natural,16633.79,Invalidez Permanente,7560.81,75608.13
Srta. Bella Rezende,591.623.708-12,Cavalcante,SE,1171789215,2023-10-12,465.37,332591.30,Enzo Gabriel da Luz,Cancelada,Morte Acidental,37998.67,Doenças Graves,7036.79,Morte Natural,30961.88,140735.81
Maria Julia Martins,598.243.716-64,das Neves da Serra,GO,889732340,2025-02-26,739.98,310686.22,Léo Viana,Ativa,Invalidez Permanente,7299.80,Auxílio Funeral,291.99,Morte Acidental,19709.47,72998.02
Julia Fernandes,487.295.061-58,da Mota,SC,6878127795,2024-01-16,209.92,24415.89,Ian Abreu,Ativa,Doenças Graves,45203.33,Invalidez Permanente,90406.66,Morte Natural,198894.66,904066.64
Sr. Isaac Azevedo,612.943.587-82,Mendonça de Guerra,TO,7092700368,2023-11-27,219.72,484918.78,Valentina Pastor,Ativa,Morte Acidental,45541.24,Auxílio Funeral,674.69,Invalidez Permanente,16867.13,168671.26
Sra. Maria Liz Cavalcante,719.428.360-31,Peixoto,RO,1838621776,2024-11-28,249.04,153313.22,José Sousa,Ativa,Auxílio Funeral,637.77,Diá­ria por Incapacidade,31.89,Doenças Graves,7972.14,159442.74
Laís Carvalho,483.012.967-04,Macedo,MG,618724139,2024-08-13,636.02,346022.60,Dra. Sophie Nunes,Ativa,Auxílio Funeral,295.70,Doenças Graves,3696.28,Invalidez Permanente,7392.55,73925.52
Miguel Martins,658.029.743-38,Cavalcanti da Prata,RN,5891759139,2022-11-16,656.63,230329.48,Caroline Lopes,Ativa,Morte Natural,22040.93,Invalidez Permanente,10018.60,Morte Acidental,27050.23,100186.03
Yan Vieira,745.689.013-75,Rocha de Gonçalves,MT,1065949154,2024-11-01,817.62,232307.21,Benjamin Rios,Suspensa,Invalidez Permanente,12212.47,Morte Acidental,32973.66,Diá­ria por Incapacidade,24.42,122124.68
Vitáüria Monteiro,569.437.218-28,Araújo da Praia,PA,3928663239,2024-02-22,549.90,130359.52,Renan da Paz,Ativa,Morte Natural,22582.04,Auxílio Funeral,410.58,Invalidez Permanente,10264.56,102645.63
